(387, 392)
(440, 207)
(410, 877)
(350, 325)
(430, 304)
(360, 293)
(349, 322)
(542, 303)
(746, 294)
(668, 314)
(540, 301)
(813, 416)
(826, 520)
(831, 493)
(811, 412)
(773, 597)
(729, 628)
(721, 628)
(773, 596)
(667, 645)
(732, 691)
(744, 694)
(667, 643)
(798, 805)
(838, 884)
(848, 881)
(796, 801)
(899, 918)
(893, 944)
(903, 940)
(900, 914)
(872, 946)
(748, 937)
(753, 947)
(870, 944)
(713, 886)
(570, 656)
(589, 640)
(713, 888)
(541, 652)
(527, 709)
(528, 679)
(541, 653)
(528, 847)
(608, 890)
(524, 924)
(527, 843)
(610, 930)
(628, 943)
(601, 947)
(610, 927)
(470, 944)
(368, 951)
(355, 945)
(471, 944)
(348, 929)
(380, 922)
(351, 899)
(348, 927)
(407, 879)
